burn_col,pk_tag_id,tag_select,tag_text,tag_emoji,emoji_unicode,tag_sort,fk_cat_id,tag_description,,2,7,0,#REF!,#REF!,#N/A
🇮🇶 Iraq,tag-05-067,,Iraq,🇮🇶,1f1ee-1f1f6,,cat-05,,,,,,,,
🇮🇪 Ireland,tag-05-026,,Ireland,🇮🇪,1f1ee-1f1ea,,cat-05,,,,,,,,
🇮🇱 Israel,tag-05-027,,Israel,🇮🇱,1f1ee-1f1f1,,cat-05,,,,,,,,
🇮🇹 Italy,tag-05-028,,Italy,🇮🇹,1f1ee-1f1f9,,cat-05,,,,,,,,
🇯🇲 Jamaica,tag-05-029,,Jamaica,🇯🇲,1f1ef-1f1f2,,cat-05,,,,,,,,
🇯🇵 Japan,tag-05-030,,Japan,🇯🇵,1f1ef-1f1f5,,cat-05,,,,,,,,
🇯🇴 Jordan,tag-05-071,,Jordan,🇯🇴,1f1ef-1f1f4,,cat-05,,,,,,,,
🇰🇿 Kazakhstan,tag-05-031,,Kazakhstan,🇰🇿,1f1f0-1f1ff,,cat-05,,,,,,,,
🇰🇪 Kenya,tag-05-032,,Kenya,🇰🇪,1f1f0-1f1ea,,cat-05,,,,,,,,
🇰🇮 Kiribati,tag-05-033,,Kiribati,🇰🇮,1f1f0-1f1ee,,cat-05,,,,,,,,
🇰🇬 Kyrgyzstan,tag-05-034,,Kyrgyzstan,🇰🇬,1f1f0-1f1ec,,cat-05,,,,,,,,
🇲🇬 Madagascar,tag-05-035,,Madagascar,🇲🇬,1f1f2-1f1ec,,cat-05,,,,,,,,
🇲🇾 Malaysia,tag-05-036,,Malaysia,🇲🇾,1f1f2-1f1fe,,cat-05,,,,,,,,
🇲🇹 Malta,tag-05-072,,Malta,🇲🇹,1f1f2-1f1f9,,cat-05,,,,,,,,
🇲🇺 Mauritius,tag-05-073,,Mauritius,🇲🇺,1f1f2-1f1fa,,cat-05,,,,,,,,
🇲🇽 Mexico,tag-05-037,,Mexico,🇲🇽,1f1f2-1f1fd,,cat-05,,,,,,,,
🇲🇦 Morocco,tag-05-038,,Morocco,🇲🇦,1f1f2-1f1e6,,cat-05,,,,,,,,
🇲🇿 Mozambique,tag-05-039,,Mozambique,🇲🇿,1f1f2-1f1ff,,cat-05,,,,,,,,
🇲🇲 Myanmar,tag-05-040,,Myanmar,🇲🇲,1f1f2-1f1f2,,cat-05,,,,,,,,
🇳🇵 Nepal,tag-05-041,,Nepal,🇳🇵,1f1f3-1f1f5,,cat-05,,,,,,,,
🇳🇱 Netherlands,tag-05-042,,Netherlands,🇳🇱,1f1f3-1f1f1,,cat-05,,,,,,,,
🇳🇬 Nigeria,tag-05-043,,Nigeria,🇳🇬,1f1f3-1f1ec,,cat-05,,,,,,,,
🇰🇵 North Korea,tag-05-044,,North Korea,🇰🇵,1f1f0-1f1f5,,cat-05,,,,,,,,
🇳🇴 Norway,tag-05-045,,Norway,🇳🇴,1f1f3-1f1f4,,cat-05,,,,,,,,
🇵🇰 Pakistan,tag-05-069,,Pakistan,🇵🇰,1f1f5-1f1f0,,cat-05,,,,,,,,
🇵🇦 Panama,tag-05-046,,Panama,🇵🇦,1f1f5-1f1e6,,cat-05,,,,,,,,
🇵🇭 Philippines,tag-05-047,,Philippines,🇵🇭,1f1f5-1f1ed,,cat-05,,,,,,,,
🇵🇹 Portugal,tag-05-048,,Portugal,🇵🇹,1f1f5-1f1f9,,cat-05,,,,,,,,
🇵🇷 Puerto Rico,tag-05-049,,Puerto Rico,🇵🇷,1f1f5-1f1f7,,cat-05,,,,,,,,
🇷🇴 Romania,tag-05-050,,Romania,🇷🇴,1f1f7-1f1f4,,cat-05,,,,,,,,
🇷🇺 Russia,tag-05-051,,Russia,🇷🇺,1f1f7-1f1fa,,cat-05,,,,,,,,
🇿🇦 South Africa,tag-05-070,,South Africa,🇿🇦,1f1ff-1f1e6,,cat-05,,,,,,,,
🇰🇷 South Korea,tag-05-052,,South Korea,🇰🇷,1f1f0-1f1f7,,cat-05,,,,,,,,
🇪🇸 Spain,tag-05-053,,Spain,🇪🇸,1f1ea-1f1f8,,cat-05,,,,,,,,
🇸🇪 Sweden,tag-05-054,,Sweden,🇸🇪,1f1f8-1f1ea,,cat-05,,,,,,,,
🇸🇾 Syria,tag-05-055,,Syria,🇸🇾,1f1f8-1f1fe,,cat-05,,,,,,,,
🇹🇯 Tajikistan,tag-05-056,,Tajikistan,🇹🇯,1f1f9-1f1ef,,cat-05,,,,,,,,
🇹🇷 Turkey,tag-05-057,,Turkey,🇹🇷,1f1f9-1f1f7,,cat-05,,,,,,,,
🇹🇲 Turkmenistan,tag-05-058,,Turkmenistan,🇹🇲,1f1f9-1f1f2,,cat-05,,,,,,,,
🇬🇧 UK,tag-05-059,,UK,🇬🇧,1f1ec-1f1e7,,cat-05,,,,,,,,
🇺🇸 USA,tag-05-060,,USA,🇺🇸,1f1fa-1f1f8,,cat-05,,,,,,,,
🇺🇿 Uzbekistan,tag-05-061,,Uzbekistan,🇺🇿,1f1fa-1f1ff,,cat-05,,,,,,,,
🇻🇦 Vatican City,tag-05-062,,Vatican City,🇻🇦,1f1fb-1f1e6,,cat-05,,,,,,,,
🇻🇳 Vietnam,tag-05-063,,Vietnam,🇻🇳,1f1fb-1f1f3,,cat-05,,,,,,,,
🇿🇲 Zambia,tag-05-064,,Zambia,🇿🇲,1f1ff-1f1f2,,cat-05,,,,,,,,
🇿🇼 Zimbabwe,tag-05-065,,Zimbabwe,🇿🇼,1f1ff-1f1fc,,cat-05,,,,,,,,
📝 Reviewed,tag-06-001,,Reviewed,📝,1f4dd,1,cat-06,,,,,,,,
🥇 Cundhill prize winner,tag-07-001,,Cundhill prize winner,🥇,1f947,3,cat-07,,,,,,,,
🥈 Cundhill prize shortlisted,tag-07-004,,Cundhill prize shortlisted,🥈,1f948,4,cat-07,,,,,,,,
⭐ PHB 5 stars award,tag-07-002,,PHB 5 stars award,⭐,2b50,2,cat-07,,,,,,,,
🏆 Wolfson prize winner,tag-07-003,,Wolfson prize winner,🏆,1f3c6,5,cat-07,,,,,,,,
📀 Wolfson prize shortlisted,tag-07-005,,Wolfson prize shortlisted,📀,1f4c0,6,cat-07,,,,,,,,
