pk_tag_id,tag_text,tag_emoji,emoji_unicode,emoji_img_url,tag_sort,fk_cat_id
tag-03-004,Middle Ages,🏰,1f3f0,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f3f0.png,4,cat-03
tag-03-005,Early Modern,⛪,26ea,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/26ea.png,5,cat-03
tag-03-006,Late Modern,🏭,1f3ed,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f3ed.png,6,cat-03
tag-03-007,Contemporary,🏗️,1f3d7,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f3d7.png,7,cat-03
tag-03-008,All periods,⛩️,26e9,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/26e9.png,8,cat-03
tag-04-001,Europe,🥐,1f950,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f950.png,1,cat-04
tag-04-002,North America,🍔,1f354,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f354.png,2,cat-04
tag-04-003,Central and S America,🌽,1f33d,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f33d.png,3,cat-04
tag-04-004,Africa,🍗,1f357,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f357.png,4,cat-04
tag-04-005,Asia,🍜,1f35c,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f35c.png,5,cat-04
tag-04-006,Australasia,🍤,1f364,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f364.png,6,cat-04
tag-04-007,Global,🍭,1f36d,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f36d.png,7,cat-04
tag-05-066,Afhganistan,🇦🇫,1f1e6-1f1eb,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1e6-1f1eb.png,1,cat-05
tag-05-001,Algeria,🇩🇿,1f1e9-1f1ff,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1e9-1f1ff.png,2,cat-05
tag-05-002,Angola,🇦🇴,1f1e6-1f1f4,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1e6-1f1f4.png,3,cat-05
tag-05-003,Australia,🇦🇺,1f1e6-1f1fa,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1e6-1f1fa.png,4,cat-05
tag-05-004,Austria,🇦🇹,1f1e6-1f1f9,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1e6-1f1f9.png,5,cat-05
tag-05-005,Bolivia,🇧🇴,1f1e7-1f1f4,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1e7-1f1f4.png,6,cat-05
tag-05-006,Canada,🇨🇦,1f1e8-1f1e6,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1e8-1f1e6.png,7,cat-05
tag-05-007,China,🇨🇳,1f1e8-1f1f3,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1e8-1f1f3.png,8,cat-05
tag-05-008,Congo,🇨🇬,1f1e8-1f1ec,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1e8-1f1ec.png,9,cat-05
tag-05-009,Cuba,🇨🇺,1f1e8-1f1fa,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1e8-1f1fa.png,10,cat-05
tag-05-010,Cyprus,🇨🇾,1f1e8-1f1fe,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1e8-1f1fe.png,11,cat-05
tag-05-011,Denmark,🇩🇰,1f1e9-1f1f0,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1e9-1f1f0.png,12,cat-05
tag-05-012,Egypt,🇪🇬,1f1ea-1f1ec,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1ea-1f1ec.png,13,cat-05
tag-05-013,Ethiopia,🇪🇹,1f1ea-1f1f9,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1ea-1f1f9.png,14,cat-05
tag-05-014,EU,🇪🇺,1f1ea-1f1fa,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1ea-1f1fa.png,15,cat-05
tag-05-015,France,🇫🇷,1f1eb-1f1f7,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1eb-1f1f7.png,16,cat-05
tag-05-016,Germany,🇩🇪,1f1e9-1f1ea,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1e9-1f1ea.png,17,cat-05
tag-05-017,Greece,🇬🇷,1f1ec-1f1f7,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1ec-1f1f7.png,18,cat-05
tag-05-018,Greenland,🇬🇱,1f1ec-1f1f1,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1ec-1f1f1.png,19,cat-05
tag-05-019,Guyana,🇬🇾,1f1ec-1f1fe,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1ec-1f1fe.png,20,cat-05
tag-05-020,Haiti,🇭🇹,1f1ed-1f1f9,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1ed-1f1f9.png,21,cat-05
